"Label","Qualified API Name","Developer Name","Data Type","Description","Label"
"Last Modified Date","LastModifiedDate","TTS_Applicant__ChangeEvent","Date/Time","","Change Event: Applicant"
"Last Modified By","LastModifiedById","TTS_Applicant__ChangeEvent","Lookup(User)","","Change Event: Applicant"
"Protection","Protection__c","TTS_Applicant__ChangeEvent","Master-Detail(Protection)","","Change Event: Applicant"
"Account","Account__c","TTS_Applicant__ChangeEvent","Lookup(Account)","","Change Event: Applicant"
"External Reference","IP_External_Reference__c","TTS_Applicant__ChangeEvent","Text(50)  (External ID)","","Change Event: Applicant"
"Individual Contact","Individual_Contact__c","TTS_Applicant__ChangeEvent","Lookup(Contact)","","Change Event: Applicant"
"Lead Applicant","Lead_Applicant__c","TTS_Applicant__ChangeEvent","Checkbox","","Change Event: Applicant"
"Type","Type__c","TTS_Applicant__ChangeEvent","Picklist","","Change Event: Applicant"
"Protection Title","Protection_Title__c","TTS_Applicant__ChangeEvent","Text(0)","","Change Event: Applicant"
"Change Event ID","Id","TTS_Contributor__ChangeEvent","Lookup()","","Change Event: Contributor"
"Replay ID","ReplayId","TTS_Contributor__ChangeEvent","External Lookup","","Change Event: Contributor"
"Change Event Header","ChangeEventHeader","TTS_Contributor__ChangeEvent","Complex Value","","Change Event: Contributor"
"<Entity>","Name","TTS_Contributor__ChangeEvent","Text(80)","","Change Event: Contributor"
"Created Date","CreatedDate","TTS_Contributor__ChangeEvent","Date/Time","","Change Event: Contributor"
"Created By","CreatedById","TTS_Contributor__ChangeEvent","Lookup(User)","","Change Event: Contributor"
"Last Modified Date","LastModifiedDate","TTS_Contributor__ChangeEvent","Date/Time","","Change Event: Contributor"
"Last Modified By","LastModifiedById","TTS_Contributor__ChangeEvent","Lookup(User)","","Change Event: Contributor"
"Transaction","IP_Related_Transaction__c","TTS_Contributor__ChangeEvent","Master-Detail(Transaction)","","Change Event: Contributor"
"Account","Account__c","TTS_Contributor__ChangeEvent","Lookup(Account)","","Change Event: Contributor"
"Amount","Amount__c","TTS_Contributor__ChangeEvent","Currency(16, 2)","","Change Event: Contributor"
"Comments","Comments__c","TTS_Contributor__ChangeEvent","Long Text Area(32768)","","Change Event: Contributor"
"Payment Reference","IP_Cont_Payment_Reference__c","TTS_Contributor__ChangeEvent","Text(50)  (External ID)","","Change Event: Contributor"
"Contact","IP_Contact__c","TTS_Contributor__ChangeEvent","Lookup(Contact)","","Change Event: Contributor"
"Date/Time","IP_Date_Time__c","TTS_Contributor__ChangeEvent","Date/Time","","Change Event: Contributor"
"Change Event ID","Id","TTS_Disclosure__ChangeEvent","Lookup()","","Change Event: Disclosure"
"Replay ID","ReplayId","TTS_Disclosure__ChangeEvent","External Lookup","","Change Event: Disclosure"
"Change Event Header","ChangeEventHeader","TTS_Disclosure__ChangeEvent","Complex Value","","Change Event: Disclosure"
"Owner","OwnerId","TTS_Disclosure__ChangeEvent","Lookup(User,Group)","","Change Event: Disclosure"
"<Entity>","Name","TTS_Disclosure__ChangeEvent","Text(80)","","Change Event: Disclosure"
"Created Date","CreatedDate","TTS_Disclosure__ChangeEvent","Date/Time","","Change Event: Disclosure"
"Created By","CreatedById","TTS_Disclosure__ChangeEvent","Lookup(User)","","Change Event: Disclosure"
"Last Modified Date","LastModifiedDate","TTS_Disclosure__ChangeEvent","Date/Time","","Change Event: Disclosure"
"Last Modified By","LastModifiedById","TTS_Disclosure__ChangeEvent","Lookup(User)","","Change Event: Disclosure"
"Commercial Applications","Commercial_Applications__c","TTS_Disclosure__ChangeEvent","Long Text Area(130000)","","Change Event: Disclosure"
"Contact","Contact__c","TTS_Disclosure__ChangeEvent","Lookup(Contact)","A relationship to the individual inventor or researcher disclosing of initial technology.","Change Event: Disclosure"
"Current Protection Details","Current_Protection_Details__c","TTS_Disclosure__ChangeEvent","Long Text Area(130000)","","Change Event: Disclosure"
"Current Protections","Current_Protections__c","TTS_Disclosure__ChangeEvent","Picklist (Multi-Select)","","Change Event: Disclosure"
"Disclosure Description","Disclosure_Description__c","TTS_Disclosure__ChangeEvent","Rich Text Area(130000)","","Change Event: Disclosure"
"Title","Disclosure_Title__c","TTS_Disclosure__ChangeEvent","Long Text Area(256)","","Change Event: Disclosure"
"Disclosure date","Disclosure_date__c","TTS_Disclosure__ChangeEvent","Date","","Change Event: Disclosure"
"External ID","External_ID__c","TTS_Disclosure__ChangeEvent","Text(200)  (External ID)","","Change Event: Disclosure"
"Funding Details","Funding_Details__c","TTS_Disclosure__ChangeEvent","Long Text Area(32768)","","Change Event: Disclosure"
"Funding Source","Funding_Source__c","TTS_Disclosure__ChangeEvent","Picklist","","Change Event: Disclosure"
"Partnership/Collaboration Details","Partnership_Collaboration_Details__c","TTS_Disclosure__ChangeEvent","Long Text Area(32768)","","Change Event: Disclosure"
"Status","Status__c","TTS_Disclosure__ChangeEvent","Picklist","","Change Event: Disclosure"
"Technology","Technology__c","TTS_Disclosure__ChangeEvent","Lookup(Technology)","Related technologies that currently exist and are in the transfer process or have been proccesed.","Change Event: Disclosure"
"Change Event ID","Id","TTS_Inventor__ChangeEvent","Lookup()","","Change Event: Inventor"
"Replay ID","ReplayId","TTS_Inventor__ChangeEvent","External Lookup","","Change Event: Inventor"
"Change Event Header","ChangeEventHeader","TTS_Inventor__ChangeEvent","Complex Value","","Change Event: Inventor"
"<Entity>","Name","TTS_Inventor__ChangeEvent","Text(80)","","Change Event: Inventor"
"Created Date","CreatedDate","TTS_Inventor__ChangeEvent","Date/Time","","Change Event: Inventor"
"Created By","CreatedById","TTS_Inventor__ChangeEvent","Lookup(User)","","Change Event: Inventor"
"Last Modified Date","LastModifiedDate","TTS_Inventor__ChangeEvent","Date/Time","","Change Event: Inventor"
"Last Modified By","LastModifiedById","TTS_Inventor__ChangeEvent","Lookup(User)","","Change Event: Inventor"
"IP","IP_Contribution__c","TTS_Inventor__ChangeEvent","Master-Detail(Technology)","","Change Event: Inventor"
"Alternative Distribution","IP_AlternativeContact__c","TTS_Inventor__ChangeEvent","Lookup(Contact)","Lookup to Contact object","Change Event: Inventor"
"Contribution Description","IP_Contribution_Description__c","TTS_Inventor__ChangeEvent","Long Text Area(32768)","","Change Event: Inventor"
"Role","IP_Contribution_Role__c","TTS_Inventor__ChangeEvent","Picklist","","Change Event: Inventor"
"Is Primary","IP_Is_Primary__c","TTS_Inventor__ChangeEvent","Checkbox","","Change Event: Inventor"
"Original Inventor","IP_Original_Inventor_Name__c","TTS_Inventor__ChangeEvent","Lookup(Contact)","Lookup to contact object.","Change Event: Inventor"
"Percentage Share","Percentage_Share__c","TTS_Inventor__ChangeEvent","Number(3, 1)","","Change Event: Inventor"
"Inventor","IP_Inventor__c","TTS_Inventor__ChangeEvent","Text(0)","","Change Event: Inventor"
"Change Event ID","Id","TTS_Mentoring_Opportunity__ChangeEvent","Lookup()","","Change Event: Mentoring Opportunity"
"Replay ID","ReplayId","TTS_Mentoring_Opportunity__ChangeEvent","External Lookup","","Change Event: Mentoring Opportunity"
"Change Event Header","ChangeEventHeader","TTS_Mentoring_Opportunity__ChangeEvent","Complex Value","","Change Event: Mentoring Opportunity"
"Owner","OwnerId","TTS_Mentoring_Opportunity__ChangeEvent","Lookup(User,Group)","","Change Event: Mentoring Opportunity"
"<Entity>","Name","TTS_Mentoring_Opportunity__ChangeEvent","Text(80)","","Change Event: Mentoring Opportunity"
"Created Date","CreatedDate","TTS_Mentoring_Opportunity__ChangeEvent","Date/Time","","Change Event: Mentoring Opportunity"
"Created By","CreatedById","TTS_Mentoring_Opportunity__ChangeEvent","Lookup(User)","","Change Event: Mentoring Opportunity"
"Last Modified Date","LastModifiedDate","TTS_Mentoring_Opportunity__ChangeEvent","Date/Time","","Change Event: Mentoring Opportunity"
"Last Modified By","LastModifiedById","TTS_Mentoring_Opportunity__ChangeEvent","Lookup(User)","","Change Event: Mentoring Opportunity"
"Applicable Industries","Applicable_Industries__c","TTS_Mentoring_Opportunity__ChangeEvent","Picklist (Multi-Select)","","Change Event: Mentoring Opportunity"
"Expiry Date","Expiry_Date__c","TTS_Mentoring_Opportunity__ChangeEvent","Date","","Change Event: Mentoring Opportunity"
"Mentee","Mentee__c","TTS_Mentoring_Opportunity__ChangeEvent","Lookup(Contact)","","Change Event: Mentoring Opportunity"
"Mentor","Mentor__c","TTS_Mentoring_Opportunity__ChangeEvent","Lookup(Contact)","","Change Event: Mentoring Opportunity"
"Mentoring End Date","Mentoring_End_Date__c","TTS_Mentoring_Opportunity__ChangeEvent","Date","","Change Event: Mentoring Opportunity"
"Mentoring Start Date","Mentoring_Start_Date__c","TTS_Mentoring_Opportunity__ChangeEvent","Date","","Change Event: Mentoring Opportunity"
"Overview","Overview__c","TTS_Mentoring_Opportunity__ChangeEvent","Long Text Area(32768)","","Change Event: Mentoring Opportunity"
"Requested Skills","Requested_Skills__c","TTS_Mentoring_Opportunity__ChangeEvent","Picklist (Multi-Select)","","Change Event: Mentoring Opportunity"
"Stage","Stage__c","TTS_Mentoring_Opportunity__ChangeEvent","Picklist","","Change Event: Mentoring Opportunity"
"Total Selected Interests","Total_Selected_Interests__c","TTS_Mentoring_Opportunity__ChangeEvent","Roll-Up Summary (COUNT Mentoring Interest)","Hidden Field Used for validation. There can only be 1 selected mentor from the related mentoring interests","Change Event: Mentoring Opportunity"
"Change Event ID","Id","TTS_Protection__ChangeEvent","Lookup()","","Change Event: Protection"
"Replay ID","ReplayId","TTS_Protection__ChangeEvent","External Lookup","","Change Event: Protection"
"Change Event Header","ChangeEventHeader","TTS_Protection__ChangeEvent","Complex Value","","Change Event: Protection"
"Owner","OwnerId","TTS_Protection__ChangeEvent","Lookup(User,Group)","","Change Event: Protection"
"<Entity>","Name","TTS_Protection__ChangeEvent","Text(80)","","Change Event: Protection"
"Record Type","RecordTypeId","TTS_Protection__ChangeEvent","Lookup(Record Type)","","Change Event: Protection"
"Created Date","CreatedDate","TTS_Protection__ChangeEvent","Date/Time","","Change Event: Protection"
"Created By","CreatedById","TTS_Protection__ChangeEvent","Lookup(User)","","Change Event: Protection"
"Last Modified Date","LastModifiedDate","TTS_Protection__ChangeEvent","Date/Time","","Change Event: Protection"
"Last Modified By","LastModifiedById","TTS_Protection__ChangeEvent","Lookup(User)","","Change Event: Protection"
"Protection Owner (Account)","Account__c","TTS_Protection__ChangeEvent","Lookup(Account)","","Change Event: Protection"
"Attorney Reference ID","Attorney_Reference_ID__c","TTS_Protection__ChangeEvent","Text(30)","","Change Event: Protection"
"Attorney Contact","Attorney__c","TTS_Protection__ChangeEvent","Lookup(Contact)","","Change Event: Protection"
"Copyright Author","Contact__c","TTS_Protection__ChangeEvent","Lookup(Contact)","","Change Event: Protection"
"Date of Creation","Date_of_Creation__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Description","Description__c","TTS_Protection__ChangeEvent","Long Text Area(131072)","","Change Event: Protection"
"Examination Date","Examination_Date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Filing Date","Filing_Date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Issuance Date","Issuance_Date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Jurisdiction","Jurisdiction__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"Patent Application Number","Patent_Application_Number__c","TTS_Protection__ChangeEvent","Text(200)","","Change Event: Protection"
"Patent Application Type","Patent_Application_Type__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"Patent Classification (IPC)","Patent_Classification__c","TTS_Protection__ChangeEvent","Text(100)","","Change Event: Protection"
"Patent Term","Patent_Term__c","TTS_Protection__ChangeEvent","Number(3, 1)","","Change Event: Protection"
"Patent Number","Patent_number__c","TTS_Protection__ChangeEvent","Text(100)  (External ID)","","Change Event: Protection"
"Priority Date","Priority_Date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Protection Family","Protection_Family__c","TTS_Protection__ChangeEvent","Lookup(Protection Family)","","Change Event: Protection"
"Protection Owner (Individual)","Protection_Owner_Individual__c","TTS_Protection__ChangeEvent","Lookup(Contact)","","Change Event: Protection"
"Status","Protection_Status__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"Publication Date","Publication_Date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Registered","Registered__c","TTS_Protection__ChangeEvent","Checkbox","","Change Event: Protection"
"Registration date","Registration_date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Renewal date","Renewal_date__c","TTS_Protection__ChangeEvent","Date","","Change Event: Protection"
"Stage","Stage__c","TTS_Protection__ChangeEvent","Picklist","","Change Event: Protection"
"Technology","Technology__c","TTS_Protection__ChangeEvent","Lookup(Technology)","","Change Event: Protection"
